,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
27,夢庵 落合駅前店,0570-012-347,,東京都,新宿区上落合,3-8-25,FLAMP2F,https://ghk7101.gorp.jp/,True
28,魚民 二宮北口駅前店,0463-71-7188,,神奈川県,中郡二宮町二宮,879,Children・I 2F,https://ge41503.gorp.jp/,True
29,はなび屋 栄町店,050-5488-9469,,沖縄県,那覇市安里,388-37,當間ビル1～2F,https://kdm7908.gorp.jp/,True
30,廣島流喰酔亭 鉄板 月輪,050-5484-6114,,山口県,下関市豊前田町,2-1-18,アーバン20ビル1F,https://y855500.gorp.jp/,True
31,和ごころ 泉,050-5484-7592,,京都府,京都市下京区烏丸仏光寺東入ル一筋目南入ル匂天神町,634-3,,https://wagokoro-izumi.gorp.jp/,True
32,やきとり家 すみれ 学芸大学店,050-5484-4097,,東京都,目黒区鷹番,3-8-4,ジュエルコート学芸大学1F,https://g939313.gorp.jp/,True
33,個室空間 湯葉豆腐料理 千年の宴 苫小牧表町2丁目店,0144-33-3988,,北海道,苫小牧市表町,2-2-10,北都ビル2・3F,https://h281915.gorp.jp/,True
34,ファイヤーバード,050-5488-3785,,栃木県,下都賀郡壬生町緑町,3-1-6,,https://e489601.gorp.jp/,True
35,鰻の成瀬 広島五日市店,050-5488-0696,,広島県,広島市佐伯区海老園,2-6-13,木原ビル1F,https://ya66100.gorp.jp/,True
36,鰻の成瀬 水戸店,050-5488-2346,,茨城県,水戸市見川,4-447-1,,https://gj3w718.gorp.jp/,True
37,大黒屋 道後店,050-5484-1326,,愛媛県,松山市道後喜多町,8-21,,https://s404901.gorp.jp/,True
38,遠賀の炭焼ビストロ 焼鳥 ジブリン,050-5486-6890,,福岡県,遠賀郡遠賀町松の本,1-10-11,1F,https://fbc9600.gorp.jp/,True
39,炭焼居食亭 和や,050-5488-0747,,福岡県,北九州市小倉北区原町,2-9-12,,https://fbmc600.gorp.jp/,True
40,もんじゃ焼 山吉 香芝店,050-5487-8367,,奈良県,香芝市上中,116-1,,https://kefb900.gorp.jp/,True
41,夢庵 毛呂山店,050-5492-6081,,埼玉県,入間郡毛呂山町大字川角,1-1,,https://ghk7104.gorp.jp/,True
42,炭火焼鳥 とりだん 天六店,050-5486-9708,,大阪府,大阪市北区天神橋,7-6-9,,https://kd3g600.gorp.jp/,True
43,鰻の成瀬 富士厚原店,050-5494-0213,,静岡県,富士市厚原,670-10,,https://nc7w400.gorp.jp/,True
44,目利きの銀次 信濃町駅前店,03-3355-2088,,東京都,新宿区信濃町,34,トーシン信濃町駅前ビル2F,https://ggb9099.gorp.jp/,True
45,居酒屋ひょうきん,050-5484-7539,,沖縄県,那覇市泉崎,1-17-17,1F,https://fb28500.gorp.jp/,True
46,個室空間 湯葉豆腐料理 千年の宴 米沢中央店,0238-22-4688,,山形県,米沢市門東町,3-2-58,32.モンテローザ米沢ビル1F,https://t088055.gorp.jp/,True
47,魚民 四街道北口駅前店,043-422-2988,,千葉県,四街道市四街道,1-7-11,イプシロンビル1F,https://e828331.gorp.jp/,True
48,魚民 東大宮東口駅前店,048-684-8788,,埼玉県,さいたま市見沼区東大宮,5-2-12,金本ビル2F,https://gcku384.gorp.jp/,True
49,焼鳥 くるみ,089-993-6290,,愛媛県,松山市本町,3-6-1,,https://s413501.gorp.jp/,True
